Date,ADM_Close,ADM_High,ADM_Low,ADM_Open,ADM_Volume,BG_Close,BG_High,BG_Low,BG_Open,BG_Volume,CAG_Close,CAG_High,CAG_Low,CAG_Open,CAG_Volume,CANE_Close,CANE_High,CANE_Low,CANE_Open,CANE_Volume,CPB_Close,CPB_High,CPB_Low,CPB_Open,CPB_Volume,DBA_Close,DBA_High,DBA_Low,DBA_Open,DBA_Volume,GIS_Close,GIS_High,GIS_Low,GIS_Open,GIS_Volume,HSY_Close,HSY_High,HSY_Low,HSY_Open,HSY_Volume,KDP_Close,KDP_High,KDP_Low,KDP_Open,KDP_Volume,KHC_Close,KHC_High,KHC_Low,KHC_Open,KHC_Volume,KO_Close,KO_High,KO_Low,KO_Open,KO_Volume,MDLZ_Close,MDLZ_High,MDLZ_Low,MDLZ_Open,MDLZ_Volume,MKC_Close,MKC_High,MKC_Low,MKC_Open,MKC_Volume,MOO_Close,MOO_High,MOO_Low,MOO_Open,MOO_Volume,PEP_Close,PEP_High,PEP_Low,PEP_Open,PEP_Volume,SB=F_Close,SB=F_High,SB=F_Low,SB=F_Open,SB=F_Volume,SJM_Close,SJM_High,SJM_Low,SJM_Open,SJM_Volume,TR_Close,TR_High,TR_Low,TR_Open,TR_Volume
2019-01-02,33.04026412963867,33.20163355358333,32.70138803156832,32.7336625319304,2497000.0,42.85063552856445,43.805009422282346,42.345377321597965,42.64211490882602,1171500.0,15.756998062133789,15.926904407856824,15.365473457245193,15.616639972229489,9529800.0,6.900000095367432,7.039999961853027,6.900000095367432,7.019999980926514,17500.0,25.107933044433594,25.590480727585696,24.928924569319523,25.497082677892724,3518900.0,14.691276550292969,14.769467983951653,14.665212186710182,14.665212186710182,253800.0,29.61075782775879,30.003717408075246,29.371898199398167,29.91125684904811,6478900.0,89.02729797363281,89.97295556769703,88.46158472940171,89.6521083756837,1037700.0,21.246082305908203,21.397358440057495,20.893101453572122,21.246082305908203,3318500.0,30.346851348876953,30.612929703420267,29.608135674639062,29.933730747507266,6417800.0,37.58268737792969,37.81492717500413,37.28638322074306,37.590694277355276,11603700.0,33.69535446166992,33.8980855158457,33.33213027206805,33.53486132624383,7300800.0,59.41849899291992,60.526954496032445,58.92342238361147,60.36485041632802,3677000.0,49.114810943603516,49.28775108079173,48.6219336966803,48.6219336966803,752800.0,87.60578155517578,88.19901080049833,86.7640385955033,87.50156750765638,4835400.0,11.930000305175781,12.109999656677246,11.829999923706055,12.100000381469727,65325,74.05229949951172,74.55712936602544,72.52992024073066,73.42126517539293,1031200.0,25.071176528930664,25.839611772955234,24.760697874587436,25.839611772955234,262811.0
2019-01-03,32.895023345947266,33.35492408320259,32.596491990399855,32.911160591904554,3273000.0,42.83460235595703,43.331838974273346,41.928346101457755,42.81054345713627,1257400.0,15.92690372467041,16.0155513063352,15.542767961471007,15.712674299905888,8526000.0,6.929999828338623,6.980000019073486,6.920000076293945,6.980000019073486,18200.0,25.41925621032715,25.74614347551194,24.975625826057772,25.076805571112157,3312900.0,14.743403434753418,14.76077967692318,14.699964486418668,14.699964486418668,492200.0,30.073060989379883,30.365856163729738,29.43353801352416,29.572230309833675,6359800.0,89.70275115966797,90.63996982062015,88.57978296205651,88.8499717193341,1236700.0,21.16999053955078,21.533531341515285,21.068536204949144,21.203807576043367,2335300.0,30.325843811035156,30.724959977497274,30.0947751509429,30.213811249766263,7613500.0,37.35044860839844,37.93505003942899,37.26235743778105,37.49459724124461,14714400.0,33.56864547729492,33.93186639163061,33.441938184124105,33.560196605856696,7454600.0,59.69891357421875,60.50506870201916,59.37908417744216,59.44042141360832,2306200.0,48.31928634643555,48.76892934104345,48.08581767816461,48.751634999109484,55900.0,86.78810119628906,88.30324487865593,86.61975257782694,87.3091837484096,5975900.0,11.6899995803833,11.920000076293945,11.6899995803833,11.880000114440918,55463,74.61235809326172,75.89021230321718,73.61847750356635,73.66580343125248,1818100.0,24.504552841186523,25.598991266814192,24.209596977026003,25.047890916226976,357141.0
2019-01-04,33.65346145629883,33.7341477005127,33.153219053634814,33.21776497114041,3117100.0,44.02153396606445,44.08569507669083,42.930819560377095,43.26765927242532,1011600.0,16.14851951599121,16.466171305841804,15.971225788657103,16.02293628300389,10307800.0,7.019999980926514,7.03000020980835,6.929999828338623,6.929999828338623,28800.0,25.559345245361328,25.76948638069392,25.201328334339472,25.388118475317935,2520400.0,14.717340469360352,14.778155658793677,14.691276106564798,14.752091295998124,264400.0,30.681772232055664,30.774232802733593,29.972902958077313,30.142413514442087,6326100.0,89.56765747070312,90.69063207838681,89.09482232747382,89.7618522122978,1642000.0,21.609622955322266,21.651896269117,21.153082454273406,21.254535182256692,3359300.0,31.15208625793457,31.2571152860518,30.458882919665772,30.86500264070684,6452600.0,38.095211029052734,38.095211029052734,37.35044419890685,37.438535359124444,13013700.0,34.497840881347656,34.58231030925457,33.75449767101881,33.75449767101881,7770200.0,59.87852096557617,60.75477064389339,59.62440775663364,59.88289980727614,2890600.0,50.15244674682617,50.238915163173104,49.22722083796769,49.22722083796769,38100.0,88.5677719116211,88.66396760176093,86.77204155706656,87.8142063857597,6293900.0,11.930000305175781,11.970000267028809,11.729999542236328,11.75,58661,75.6299057006836,75.86654736906402,74.21795738692157,74.75433995294263,1381500.0,24.589933395385742,25.241937999814592,24.108690007602043,24.605456178115652,213735.0
2019-01-07,33.822898864746094,34.24245811237964,33.45982152851865,33.51630036205917,3970100.0,44.390464782714844,45.16840166101385,43.90926854297858,43.91728715458005,2636400.0,16.480945587158203,16.680401569203557,15.867804219726658,16.14113294427089,7688400.0,7.400000095367432,7.409999847412109,7.170000076293945,7.170000076293945,124800.0,26.22089958190918,26.384344674087927,25.24024387371619,25.473733045288242,3543600.0,14.90847396850586,14.934538330969087,14.821594417384715,14.847658779847942,512400.0,31.1903018951416,31.39063651011482,30.427497236156885,30.674060655148693,5695600.0,89.0019760131836,89.72810324972174,88.5966895529251,89.27216483941935,1733200.0,21.880168914794922,21.981623270184713,21.56735440975409,21.634990109159858,2073600.0,31.740249633789062,32.00632523926979,30.815977866365778,31.15207814782863,6711400.0,37.59870529174805,38.23936418544515,37.55866468368621,38.09521555250048,13135500.0,34.734352111816406,35.01310697794335,34.2782127653475,34.345787652034836,6095300.0,60.39114761352539,61.40321528077888,59.71205253526769,59.89168538740327,2660800.0,50.63667678833008,50.99120256138002,50.11785641164528,50.29079653720687,27900.0,87.80619812011719,88.48761084039727,87.10073647454121,88.19099927347207,5220300.0,12.649999618530273,12.670000076293945,11.9399995803833,11.949999809265137,89258,76.64745330810547,77.03396842455847,74.54925504157082,75.251284350491,937900.0,24.954748153686523,25.117748875678142,24.279456670369175,24.53560116714729,126211.0
2019-01-08,34.45224380493164,34.484518307731285,33.911656655568486,34.07302609170074,5096800.0,44.695220947265625,45.00799878743814,44.1739255667684,44.518780910503345,1247000.0,15.83825397491455,16.414458194079707,15.771768655933156,16.340586869882774,12699700.0,7.519999980926514,7.53000020980835,7.429999828338623,7.489999771118164,108800.0,26.417526245117188,26.54336131951502,26.01642788301935,26.220908753861522,2296900.0,15.012728691101074,15.012728691101074,14.943225386576557,14.97797621029407,329200.0,31.660320281982422,31.76048760829646,31.305885667970728,31.429167400638637,6609400.0,89.89696502685547,90.07427581990578,88.5797954545909,89.4156910337735,1589700.0,21.88861656188965,22.176068595355353,21.753345206442464,22.091523595060426,3663900.0,31.76824951171875,32.02312528573848,31.537183618643596,31.93629961937274,8308100.0,38.02313995361328,38.09521426765475,37.6707783376897,37.838950718818964,15420700.0,35.545265197753906,35.57905102223781,34.84415697732395,34.89484054750109,11029300.0,61.46891784667969,61.503968636941394,60.145778926632474,60.42617856347149,2451600.0,51.23332214355469,51.259262010620176,50.740444877957096,51.034442132748545,17000.0,88.64794158935547,88.82430851863327,87.71800909542027,88.29520773079985,6407700.0,12.760000228881836,12.850000381469727,12.59000015258789,12.65999984741211,101231,78.62733459472656,78.8718598925644,76.95508173771499,77.17594407357463,1214400.0,25.311796188354492,25.42046273630484,24.86936418592457,25.055651717004395,118808.0
2019-01-09,34.750770568847656,35.057372148312645,34.452239152925884,34.452239152925884,3530100.0,45.75386428833008,45.98644382750578,44.671171075351666,44.7754313962531,2340500.0,15.793927192687988,15.993383120625403,15.557535608023638,15.801314605834373,10174700.0,7.559999942779541,7.579999923706055,7.53000020980835,7.579999923706055,21400.0,26.88153648376465,27.125343188028417,26.283817789487024,26.40965583050886,3916700.0,15.03879165649414,15.073544137906305,15.012728952524537,15.021417072877577,309200.0,31.519948959350586,31.800681304171285,31.231419815947948,31.465362445051223,4521300.0,89.2383804321289,90.31069040434522,88.98507561762287,89.83786162186358,1039100.0,22.37898063659668,22.522706685493205,22.074620825010363,22.074620825010363,4835300.0,31.600208282470703,31.838277756956934,31.34813440700689,31.72624522020261,6628800.0,37.29438018798828,37.86296459775777,37.18226529647336,37.70280221268027,18032500.0,35.41856002807617,35.739549547365804,35.207383306335814,35.638182400873674,8532700.0,61.46455001831055,62.03411382487338,61.14472065730285,61.368168673906204,2091600.0,51.5186653137207,51.743485154229944,51.42354808554275,51.63107358469615,18400.0,86.17081451416016,88.88044126643645,86.17081451416016,88.4475422092762,8521300.0,12.869999885559082,12.9399995803833,12.630000114440918,12.779999732971191,75007,78.62733459472656,78.8639762506032,77.78332151523593,78.58000867077016,1097200.0,24.82279396057129,25.350607488693324,24.729648421042732,25.27298826815054,82987.0
2019-01-10,34.992828369140625,35.00896562076767,34.516790218673975,34.75077575046705,2934100.0,45.4490966796875,45.98643541118654,44.9919593570388,45.77791786691751,1235000.0,15.8604154586792,15.88257770224981,15.483665772010317,15.764381887883719,11400300.0,7.429999828338623,7.519999980926514,7.429999828338623,7.5,38700.0,27.11747932434082,27.2039914854915,26.543356709602293,26.70851465353852,3034400.0,14.925851821899414,14.986667017124395,14.90847557838091,14.960602651846637,241200.0,32.29976272583008,32.31535929919398,31.519951906088256,31.519951906088256,8279800.0,90.17557525634766,90.28533721115798,89.17925312824505,89.36500264212239,1050300.0,22.218345642089844,22.463524410401373,22.167617665836126,22.395888721291776,2049100.0,31.929309844970703,31.978323924354157,31.362146163228758,31.61422009781051,6153000.0,37.69480514526367,37.710822000226614,37.11020368617856,37.36646725578018,15976600.0,35.764888763427734,35.77333441425833,35.207382361880626,35.41855907795606,7680200.0,61.72303009033203,61.762459721785156,60.601431560635106,61.32433487829388,2475200.0,51.94236755371094,51.94236755371094,51.31113890830532,51.31978443010715,49000.0,86.69989013671875,86.85220201000172,86.06657537372507,86.1066609866029,7905000.0,12.670000076293945,12.880000114440918,12.619999885559082,12.850000381469727,63376,80.04717254638672,80.14971405437528,78.37491968827848,78.6115613443103,765600.0,25.032363891601562,25.14103220297954,24.698598450457123,24.846076367964596,124778.0
2019-01-11,34.82338333129883,35.08157313848509,34.59746801947717,35.00088997793886,2513600.0,44.68721389770508,45.42504867983859,44.64711165397776,45.19246912745542,1089100.0,15.963837623596191,15.985998457843092,15.579700527923992,15.860415230758152,8480000.0,7.480000019073486,7.550000190734863,7.46999979019165,7.510000228881836,18700.0,27.55790138244629,27.628683781550713,26.960182678865813,27.188259631551627,2341200.0,14.977977752685547,14.995353994878407,14.943226925389489,14.951913389396257,198000.0,32.59609603881836,32.61169261427253,32.034634196181315,32.32316340522692,7417400.0,89.99827575683594,90.36978774122358,88.80775867147972,90.13337336636184,1141300.0,22.82706642150879,22.82706642150879,22.294435581200865,22.336707281401083,3711700.0,31.936315536499023,32.11696782284838,31.358646509300918,32.06235251229015,4879400.0,37.9110221862793,37.927039038741704,37.61471805298038,37.8709815825744,11088600.0,35.67197799682617,35.83247117477687,35.50303594396659,35.73110723198178,4755400.0,61.390052795410156,61.924565655525456,60.89935509507668,61.810655599449404,1898000.0,51.89913558959961,51.96830966267804,51.53596098562229,51.700255593981,95500.0,86.70792388916016,86.98048653330086,86.29105545950073,86.4674224015715,5939000.0,12.779999732971191,12.90999984741211,12.680000305175781,12.699999809265137,62689,80.60721588134766,80.78863593045823,79.63699233933357,80.22859044547586,718900.0,25.280750274658203,25.474800105288075,25.094464487866198,25.141036376506584,95166.0
2019-01-14,34.57326126098633,34.80724673999416,34.43609926989816,34.70235616701387,3107600.0,43.75688934326172,44.639083446970744,43.668669321016615,44.51076424898814,1228000.0,15.402411460876465,15.926905361874782,15.380249210930725,15.889969687637535,8246300.0,7.480000019073486,7.519999980926514,7.460000038146973,7.480000019073486,30600.0,27.55790138244629,27.754518824387013,27.251178653041816,27.408470206479134,2298200.0,14.90847396850586,14.960601036342704,14.873723142311167,14.899785847684784,131400.0,32.588294982910156,32.59609178224779,32.29976283680001,32.47912194372998,3874400.0,89.52544403076172,90.08271198881631,89.29747487452651,89.85473639077276,1145000.0,22.277528762817383,22.818614326562006,22.099984054362316,22.818614326562006,2834400.0,32.38444519042969,32.50347862577418,31.817278810375292,31.908306106917458,7977200.0,37.75885772705078,37.959063753058686,37.63072599260179,37.83893891549334,11514300.0,35.883148193359375,36.00985551540139,35.427005700769385,35.59594772272506,10366400.0,61.07024383544922,61.31121392389292,60.627739989584974,60.80298731649476,1932800.0,51.63107681274414,51.76942825368245,51.52731405668004,51.53595957861933,27600.0,86.0345230102539,86.547587139697,85.74592367291632,86.45940366905457,5804600.0,12.75,12.84000015258789,12.630000114440918,12.75,41796,80.95427703857422,81.11992377458911,80.08660108028569,80.41001091111005,973900.0,24.985797882080078,25.56018513752516,24.90041637497763,25.241942403387426,65195.0
2019-01-15,35.081565856933594,35.113840345599286,34.61359808273966,34.6378024103066,2773300.0,42.69023895263672,43.829074656492395,42.44161913645697,43.829074656492395,2250600.0,15.601859092712402,15.638794747085704,15.372853526782258,15.402403177484818,5798200.0,7.659999847412109,7.690000057220459,7.550000190734863,7.559999942779541,41500.0,27.943273544311523,27.998326195245784,27.369150898751002,27.47925620061953,3292900.0,14.838972091674805,14.882411042884442,14.821595848355042,14.856348334994568,140700.0,32.674072265625,32.7988418691202,32.3309536249567,32.502512945290846,4486300.0,90.96083068847656,91.04526347405347,89.44101478085787,89.44101478085787,805400.0,22.46352767944336,22.49734633520069,22.00698711465527,22.31134695365991,2261200.0,32.846580505371094,32.85358137244053,32.377444950770844,32.67152944689628,6086900.0,38.095211029052734,38.11923478005673,37.486585916034635,37.55065027034602,11342900.0,36.2717170715332,36.389978757130386,35.90004715513212,36.06054032356184,7624500.0,61.683597564697266,62.10857922382353,60.930028938012164,61.29805222470244,1526000.0,51.864540100097656,51.92506864306053,51.682954471209044,51.92506864306053,63000.0,87.37329864501953,87.43743318960064,85.56154363215407,86.14675453188804,4508000.0,13.15999984741211,13.1899995803833,12.720000267028809,12.760000228881836,119174,81.38024139404297,81.56955713811814,80.62299647188536,80.95428999694536,754500.0,25.459272384643555,25.52136704561156,24.846075675142398,24.97026853261681,81554.0
